company_cd,rr_cd,company_name
1,11,JR
11,21,東武鉄道
12,22,西武鉄道
13,23,京成電鉄
14,24,京王電鉄
15,25,小田急電鉄
16,26,東急電鉄
17,27,京急電鉄
18,28,東京メトロ
19,29,相模鉄道
20,30,名古屋鉄道
21,31,近畿日本鉄道
22,32,南海電鉄
23,33,京阪電鉄
24,34,阪急電鉄
25,35,阪神電鉄
26,36,西日本鉄道
101,99,札幌市交通局
102,99,函館市交通局
103,99,北海道ちほく高原鉄道
248,99,道南いさりび鉄道
104,99,津軽鉄道
105,99,弘南鉄道
106,99,十和田観光電鉄
107,99,IGRいわて銀河鉄道
108,99,青い森鉄道
109,99,三陸鉄道
110,99,秋田内陸縦貫鉄道
111,99,由利高原鉄道
112,99,山形鉄道
113,99,くりはら田園鉄道
114,99,阿武隈急行
115,99,仙台市交通局
116,99,福島交通
117,99,会津鉄道
118,99,仙台空港鉄道
119,99,東京都交通局
120,99,秩父鉄道
121,99,埼玉高速鉄道
122,99,いすみ鉄道
123,99,首都圏新都市鉄道
124,99,横浜高速鉄道
125,99,ゆりかもめ
126,99,わたらせ渓谷鐵道
127,99,山万
128,99,伊豆箱根鉄道
129,99,ひたちなか海浜鉄道
130,99,横浜市交通局
131,99,株式会社横浜シーサイドライン
132,99,関東鉄道
133,99,江ノ島電鉄
134,99,埼玉新都市交通
135,99,鹿島鉄道
136,99,鹿島臨海鉄道
137,99,芝山鉄道
138,99,小湊鐵道
139,99,湘南モノレール
140,99,上信電鉄
141,99,上毛電気鉄道
142,99,新京成電鉄
143,99,真岡鐵道
144,99,千葉都市モノレール
145,99,流鉄
146,99,多摩都市モノレール
147,99,銚子電気鉄道
148,99,東京モノレール
149,99,東京臨海高速鉄道
150,99,東葉高速鉄道
151,99,箱根登山鉄道
152,99,北総鉄道
153,99,野岩鉄道
154,99,富士急行
155,99,北越急行
156,99,しなの鉄道
157,99,上田交通
158,99,長野電鉄
159,99,アルピコ交通
160,99,富山地方鉄道
161,99,神岡鉄道
163,99,万葉線
162,99,黒部峡谷鉄道
164,99,富山ライトレール
165,99,北陸鉄道
244,99,えちごトキめき鉄道
245,99,あいの風とやま鉄道
246,99,IRいしかわ鉄道
166,99,のと鉄道
167,99,えちぜん鉄道
168,99,福井鉄道
169,99,伊豆急行
170,99,岳南鉄道
171,99,静岡鉄道
172,99,天竜浜名湖鉄道
173,99,遠州鉄道
174,99,大井川鐵道
175,99,名古屋臨海高速鉄道
176,99,東海交通事業
177,99,愛知環状鉄道
178,99,愛知高速交通
179,99,名古屋市交通局
180,99,桃花台新交通
181,99,豊橋鉄道
182,99,名古屋ガイドウェイバス
183,99,明知鉄道
184,99,長良川鉄道
185,99,樽見鉄道
186,99,三岐鉄道
187,99,伊勢鉄道
188,99,伊賀鉄道
189,99,養老鉄道
247,99,四日市あすなろう鉄道
190,99,近江鉄道
191,99,信楽高原鐵道
192,99,嵯峨野観光鉄道
193,99,叡山電鉄
194,99,京都丹後鉄道
195,99,京都市交通局
196,99,京福電気鉄道
197,99,北大阪急行電鉄
198,99,大阪府都市開発
199,99,水間鉄道
249,99,Osaka Metro
200,99,大阪市交通局
201,99,大阪モノレール株式会社
202,99,阪堺電気軌道
203,99,神戸高速鉄道
204,99,神戸電鉄
205,99,北神急行電鉄
206,99,山陽電気鉄道
207,99,能勢電鉄
208,99,三木鉄道
209,99,北条鉄道
210,99,智頭急行
211,99,神戸市交通局
212,99,神戸新交通
213,99,紀州鉄道
214,99,和歌山電鐵
215,99,若桜鉄道
216,99,一畑電車
217,99,水島臨海鉄道
218,99,井原鉄道
219,99,岡山電気軌道
220,99,スカイレールサービス
221,99,広島高速交通
222,99,広島電鉄
223,99,錦川鉄道
224,99,阿佐海岸鉄道
225,99,高松琴平電気鉄道
226,99,伊予鉄道
227,99,土佐くろしお鉄道
228,99,土佐電気鉄道
229,99,甘木鉄道
230,99,平成筑豊鉄道
231,99,福岡市交通局
232,99,北九州高速鉄道
233,99,筑豊電気鉄道
234,99,松浦鉄道
235,99,島原鉄道
236,99,長崎電気軌道
237,99,熊本電気鉄道
238,99,南阿蘇鉄道
239,99,くま川鉄道
240,99,肥薩おれんじ鉄道
241,99,熊本市交通局
242,99,鹿児島市交通局
243,99,沖縄都市モノレール
